PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Dwayne Bacon,CHA,24,6'6,221,Florida State,USA,2017,2,40,39,5.7,2.6,1.3,8.2,2.00%,12.40%,18.90%,41.90%,12.10%,SG-SF,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
Dwight Howard,LAL,34,6'10,265,None,USA,2004,1,1,62,7.5,7.4,0.7,6.8,12.70%,25.00%,14.30%,69.60%,4.80%,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5''
Dwight Powell,DAL,28,6'10,240,Stanford,Canada,2014,2,45,40,9.4,5.7,1.5,8.9,7.10%,13.20%,12.60%,67.70%,7.60%,PF,6.20%,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
E'Twaun Moore,NOP,31,6'3,191,Purdue,USA,2011,2,55,51,8.6,2.4,1.4,1.9,2.70%,9.50%,19.60%,50.90%,10.90%,SG,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Ed Davis,UTA,31,6'9,218,North Carolina,USA,2010,1,13,25,1.3,3.8,0.3,13.8,10.20%,24.00%,8.40%,42.50%,4.50%,PF,10.00%,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0''
Edmond Sumner,IND,24,6'4,196,Xavier,USA,2017,2,52,25,4.6,1.5,1.6,3.7,2.90%,7.30%,17.10%,48.50%,15.10%,PG,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Elfrid Payton,NYK,26,6'3,195,Louisana'Lafayette,USA,2014,1,10,45,10.0,4.7,7.2,3.0,3.90%,12.60%,19.00%,47.00%,34.70%,PG,5.65%,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Enes Kanter,BOS,28,6'10,250,,Turkey,2011,1,3,51,8.2,7.7,1.0,8.3,15.00%,26.60%,18.50%,59.40%,8.20%,PF-C,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Eric Bledsoe,MIL,30,6'1,214,Kentucky,USA,2010,1,18,56,15.4,4.6,5.4,13.3,2.60%,11.90%,23.60%,57.90%,27.40%,PG,5.60%,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5''
Eric Gordon,HOU,31,6'3,215,Indiana,USA,2008,1,7,34,14.5,1.9,1.5,1.4,0.70%,5.40%,21.10%,51.10%,7.90%,SG,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9''
Eric Paschall,GSW,23,6'6,255,Villanova,USA,2019,2,41,60,14.0,4.6,2.1,10.6,4.70%,11.60%,20.70%,57.10%,12.60%,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Ersan Ilyasova,MIL,33,6'9,235,None,Turkey,2005,2,36,56,6.8,4.9,0.8,6.9,6.30%,21.10%,16.10%,59.10%,6.90%,SF,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25''
Evan Turner,MIN,31,6'6,220,Ohio State,USA,2010,1,2,19,3.3,2.0,2.0,11.4,2.80%,10.70%,15.40%,42.40%,23.50%,SG,8.60%,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8''
Frank Jackson,NOP,22,6'3,205,Duke,USA,2017,2,31,51,5.6,1.4,0.8,5.9,2.60%,7.20%,19.60%,50.00%,8.60%,PG,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Frank Kaminsky,PHX,27,7'0,240,Wisconsin,USA,2015,1,9,32,11.0,4.9,2.2,2.3,3.90%,17.70%,20.20%,55.40%,15.10%,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
Gary Harris,DEN,25,6'4,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,1.50%,7.70%,15.00%,51.90%,9.10%,SG,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Gary Payton II,WAS,27,6'3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,29,3.9,2.8,1.7,14.3,5.30%,12.70%,12.90%,47.30%,15.80%,PG,3.95%,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
George Hill,MIL,34,6'3,188,None,USA,2008,1,26,52,9.6,3.0,2.9,11.5,3.90%,8.50%,15.50%,66.80%,18.90%,PG,3.00%,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9''
Georges Niang,UTA,27,6'7,230,Iowa State,USA,2016,2,50,58,5.8,1.9,0.6,1.2,1.50%,11.90%,16.20%,61.20%,6.60%,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10''
Glenn Robinson III,PHI,26,6'6,222,Michigan,USA,2014,2,40,60,11.8,4.3,1.6,7.9,4.20%,10.40%,16.00%,57.60%,8.30%,SF,5.05%,9,9.5,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10''
Gordon Hayward,BOS,30,6'7,225,Butler,USA,2010,1,9,45,17.3,6.5,4.1,8.0,2.90%,15.60%,20.40%,59.30%,18.00%,SF,6.90%,8.5,9.25,6' 6.75'',6' 8'',8' 7'',211,6' 7.75''
