PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Isaiah Thomas,WAS,31,5'9,185,PG,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75''
JJ Redick,NOP,36,6'3,200,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25''
Ja Morant,MEM,20,6'3,174,PG,-%,-,-,,,,-,
JaMychal Green,LAC,30,6'8,227,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
JaVale McGee,LAL,32,7'0,270,C-PF,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6''
Jacob Evans,MIN,23,6'4,210,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Jae Crowder,MIA,29,6'6,235,SF,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Jake Layman,MIN,26,6'8,209,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25''
Jakob Poeltl,SAS,24,7'1,245,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75''
Jalen Brunson,DAL,23,6'1,190,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Jalen Lecque,PHX,20,6'4,185,PG,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
Jalen McDaniels,CHA,22,6'10,205,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
James Harden,HOU,30,6'5,220,SG,10.10%,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75''
James Johnson,MIN,33,6'7,240,SF-PF,12.00%,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75''
Jared Dudley,LAL,34,6'6,237,SF,7.10%,-,-,6' 5'',6' 7.25'',8' 6'',219,6' 7''
Jared Harper,NYK,22,5'10,175,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Jarrett Allen,BKN,22,6'11,243,C,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
Jarrett Culver,MIN,21,6'6,195,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Jarrod Uthoff,WAS,27,6'9,220,PF,6.00%,8.75,9,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5''
Jaxson Hayes,NOP,20,6'11,220,PF,5.00%,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5''
Jaylen Brown,BOS,23,6'6,223,SG-SF,5.05%,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75''
Jaylen Nowell,MIN,20,6'4,201,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
Jeff Green,HOU,33,6'8,235,SF,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25''
Jeff Teague,ATL,32,6'3,195,PG,4.50%,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5''
Jerami Grant,DEN,26,6'8,210,SF,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214,7' 2.75''
Jeremy Lamb,IND,28,6'5,180,SG,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11''
Jeremy Pargo,GSW,34,6'2,219,PG,7.60%,-,-,6' 0.5'',6' 1.5'',8' 0'',208,6' 5''
Jerome Robinson,WAS,23,6'4,190,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Jevon Carter,PHX,24,6'1,200,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
